SQL> 
SQL> set lines 500
SQL> 
SQL> select distinct target_type || '|' || metric_name || '|' || metric_label || '|' || column_label
  2  from  mgmt$metric_current
  3  order by 1;

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
------------------------------------------------------------------------------------------------
casm_diskgroup_component|DiskGroup_Target_Component|Disk Group Target Component|Disk Count   
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Bean Activations (per minute)
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Cache Accesses (per minute)  
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Cache Hits (%)  
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Cache Misses (per minute)
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Cache Passivations (per minute)  
j2ee_application|deployment_app_ejb_cache|Application EJB Cache Metrics|Cached Beans
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Available Beans   
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Bean Access Failures (per minute)  
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Bean Accesses (per minute) 
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Bean Destroys (per minute) 
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Beans in Use 
j2ee_application|deployment_app_ejb_pool|Application EJB Pool Metrics|Successful Bean Accesses (%)   
j2ee_application|deployment_app_ejb_transaction|Application EJB Transaction Metrics|Bean Transaction Commits (%)   
j2ee_application|deployment_app_ejb_transaction|Application EJB Transaction Metrics|Bean Transaction Commits (per minute)    
j2ee_application|deployment_app_ejb_transaction|Application EJB Transaction Metrics|Bean Transaction Rollbacks (per minute)  
j2ee_application|deployment_app_ejb_transaction|Application EJB Transaction Metrics|Bean Transaction Timeouts (per minute)   
j2ee_application|deployment_app_level_work_manager|Deployment Application Level Work Manager Metrics|Work Manager Pending Requests   
j2ee_application|deployment_app_level_work_manager|Deployment Application Level Work Manager Metrics|Work Manager Requests (per minute)  
j2ee_application|deployment_app_level_work_manager|Deployment Application Level Work Manager Metrics|Work Manager Stuck Threads  
j2ee_application|deployment_app_mdb|Application Message Driven EJB Metrics|MDB Messages (per minute) 
j2ee_application|deployment_app_mdb|Application Message Driven EJB Metrics|MDB Suspensions (per minute)  
j2ee_application|deployment_app_module|Deployment Module Metrics By Application|Active Sessions  
j2ee_application|deployment_app_servlet_jsp|Servlet/JSP Metrics By Application|Reloads (per minute)  
j2ee_application|deployment_app_servlet_jsp|Servlet/JSP Metrics By Application|Request Processing Time (ms)
j2ee_application|deployment_app_servlet_jsp|Servlet/JSP Metrics By Application|Requests (per minute) 
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Available Beans  
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Bean Access Failures (per minute) 
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Bean Accesses (per minute)
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Bean Destroys (per minute)
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Beans in Use 
j2ee_application|deployment_ejb_pool|EJB Pool Metrics|Successful Bean Accesses (%) 
j2ee_application|deployment_ejb_transaction|EJB Transaction Metrics|Bean Transaction Commits (%) 
j2ee_application|deployment_ejb_transaction|EJB Transaction Metrics|Bean Transaction Commits (per minute)
j2ee_application|deployment_ejb_transaction|EJB Transaction Metrics|Bean Transaction Rollbacks (per minute)
j2ee_application|deployment_ejb_transaction|EJB Transaction Metrics|Bean Transaction Timeouts (per minute) 
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Available Beans
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Bean Access Failures (per minute)
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Bean Accesses (per minute)   
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Bean Destroys (per minute)   
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Beans in Use
j2ee_application|deployment_module_ejb_pool|Module EJB Pool Metrics|Successful Bean Accesses (%) 
j2ee_application|deployment_module_ejb_transaction|Module EJB Transaction Metrics|Bean Transaction Commits (%) 
j2ee_application|deployment_module_ejb_transaction|Module EJB Transaction Metrics|Bean Transaction Commits (per minute) 
j2ee_application|deployment_module_ejb_transaction|Module EJB Transaction Metrics|Bean Transaction Rollbacks (per minute)    
j2ee_application|deployment_module_ejb_transaction|Module EJB Transaction Metrics|Bean Transaction Timeouts (per minute)
j2ee_application|deployment_module_servlet_jsp|Servlet/JSP Metrics By Module|Reloads (per minute)
j2ee_application|deployment_module_servlet_jsp|Servlet/JSP Metrics By Module|Request Processing Time (ms)
j2ee_application|deployment_module_servlet_jsp|Servlet/JSP Metrics By Module|Requests (per minute)   
j2ee_application|deployment_module|Deployment Module Metrics|Active Sessions 
j2ee_application|deployment_servlet_jsp_delta|Deployment Servlet/JSP Delta Metrics|Number Executions for the Servlet/JSP During the Last Period
j2ee_application|deployment_servlet_jsp_delta|Deployment Servlet/JSP Delta Metrics|Time Spent Executing the Servlet/JSP During the Last Period (sec
j2ee_application|deployment_servlet_jsp|Servlet/JSP Metrics|Reloads (per minute)
j2ee_application|deployment_servlet_jsp|Servlet/JSP Metrics|Request Processing Time (ms)
j2ee_application|deployment_servlet_jsp|Servlet/JSP Metrics|Requests (per minute)  
j2ee_application|deployment_work_manager|Deployment Work Manager Metrics|Work Manager Pending Requests   
j2ee_application|deployment_work_manager|Deployment Work Manager Metrics|Work Manager Requests (per minute)
j2ee_application|deployment_work_manager|Deployment Work Manager Metrics|Work Manager Stuck Threads  
j2ee_application|j2ee_app_jee_ws_port_properties|j2ee_app_jee_ws_port_properties|ImplementationType  
j2ee_application|j2ee_app_jee_ws_port_properties|j2ee_app_jee_ws_port_properties|TransportProtocolType   
j2ee_application|j2ee_app_jee_ws_port_properties|j2ee_app_jee_ws_port_properties|URI
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Avg Invocation Time per interval(ms) 
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Fault Count  
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Fault Count Delta 
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Invocation Count  
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Invocation Count Delta 
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Response Count 
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Response Count Delta   
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Total Invocation Time Delta(ms)
j2ee_application|j2ee_app_jrf_ws_operation|Oracle Web Service Operation Metrics|Oracle WS Operation - Total Invocation Time(ms)  
j2ee_application|j2ee_app_jrf_ws_port_properties|Oracle Web Service Endpoint Properties|Maximum Request Size   
j2ee_application|j2ee_app_jrf_ws_port_properties|Oracle Web Service Endpoint Properties|WSDL URI 
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Avg Invocation Time per interval(sec) 
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Fault Count 
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Fault Count Delta   
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Fault Throughput(per minute)  
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Invocation Count
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Invocation Count Delta
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Invocation Throughput(per minute) 
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Start Time(ms since Epoch)    
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Total Invocation Time Delta(sec)  
j2ee_application|j2ee_app_jrf_ws_port|Oracle Web Service Endpoint Metrics|Oracle WS Endpoint - Total Invocation Time(sec)    
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Average Response Time Per Interval (ms)
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Fault Throughput (per minute)
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Faults Per Interval 
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Invocation Throughput (per minute)   
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Invocation Time Per Interval 
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Invocations Per Interval 
j2ee_application|j2ee_app_jrf_ws_service|Oracle Web Service Metrics|Responses Per Interval   
j2ee_application|j2ee_app_owsm_policy_violation_summary|OWSM Policy Violation Summary Metrics|OWSM Policy Violation Summary - Total Violation Delta
j2ee_application|j2ee_app_owsm_policy_violation_summary|OWSM Policy Violation Summary Metrics|OWSM Policy Violation Summary - Total Violations 
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Category
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Authentication Fault Delta  
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Authentication Faults   
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Authorization Fault Delta   
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Authorization Faults
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Confidentiality Fault Delta 
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Confidentiality Faults  
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Integrity Fault Delta   
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Integrity Faults
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Total Policy Fault Delta
j2ee_application|j2ee_app_owsm_policy_violation|OWSM Policy Violation Detail Metrics|OWSM Policy Violation - Total Policy Faults 
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|IOs Per Document Get
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|IOs Per MO Content Get 
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|IOs Per Metadata Object Get
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|Metadata Object Get Processing Time (seconds)   
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|Metadata Object Gets Per Second
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|Metadata Update Processing Time (seconds)   
j2ee_application|mds_j2ee_application_rollup|MDS Metrics|Metadata Updates Per Second
jrf_webservice|j2ee_app_jrf_ws_service_tc|Oracle Web Service Target Component Metrics|Average Response Time Per Interval (ms)
jrf_webservice|j2ee_app_jrf_ws_service_tc|Oracle Web Service Target Component Metrics|Fault Throughput (per minute)
jrf_webservice|j2ee_app_jrf_ws_service_tc|Oracle Web Service Target Component Metrics|Invocation Throughput (per minute)
metadata_repository|MDS_PARTITION_ROLLUP|MDS_PARTITION_ROLLUP|Document write time (in seconds)   
metadata_repository|MDS_PARTITION_ROLLUP|MDS_PARTITION_ROLLUP|Load 
metadata_repository|MDS_PARTITION_ROLLUP|MDS_PARTITION_ROLLUP|Number of document writes per sencond  
metadata_repository|MDS_PARTITION_ROLLUP|MDS_PARTITION_ROLLUP|Response 
metadata_repository|MDS_REPOSITORY_ROLLUP|MDS_REPOSITORY_ROLLUP|Load   
metadata_repository|MDS_REPOSITORY_ROLLUP|MDS_REPOSITORY_ROLLUP|Response   
oracle_apache|ResourceUsage|Resource Usage|CPU Usage (%) 
oracle_apache|ResourceUsage|Resource Usage|Memory Usage (%)  
oracle_apache|ResourceUsage|Resource Usage|Memory Usage (MB) 
oracle_apache|Response|Response|Response - Status    
oracle_apache|ohs_module|OHS Module Metrics|Request Handling Throughput, for a Module (requests per second)
oracle_apache|ohs_module|OHS Module Metrics|Request Handling Time, for a Module (seconds)    
oracle_apache|ohs_module|OHS Module Metrics|Total Handled Requests for a Module 
oracle_apache|ohs_responses|OHS Response Code Metrics|HTTP 4xx error throughput (errors per second)  
oracle_apache|ohs_responses|OHS Response Code Metrics|HTTP 5xx error throughput (errors per second)  
oracle_apache|ohs_server|OHS Server Metrics|Active HTTP Connections
oracle_apache|ohs_server|OHS Server Metrics|Active HTTP Requests 
oracle_apache|ohs_server|OHS Server Metrics|Busy Processes   
oracle_apache|ohs_server|OHS Server Metrics|Busy Threads 
oracle_apache|ohs_server|OHS Server Metrics|Busy Threads (%) 
oracle_apache|ohs_server|OHS Server Metrics|Connection Duration (seconds)  
oracle_apache|ohs_server|OHS Server Metrics|Error Rate (%)   
oracle_apache|ohs_server|OHS Server Metrics|Idle Processes   
oracle_apache|ohs_server|OHS Server Metrics|Idle Threads 
oracle_apache|ohs_server|OHS Server Metrics|Number of Threads
oracle_apache|ohs_server|OHS Server Metrics|Percentage of Busy Processes   
oracle_apache|ohs_server|OHS Server Metrics|Request Processing Time (milli seconds)
oracle_apache|ohs_server|OHS Server Metrics|Request Processing Time (seconds)
oracle_apache|ohs_server|OHS Server Metrics|Request Throughput (requests per second)
oracle_apache|ohs_server|OHS Server Metrics|Response Data Processed (KB per response)   
oracle_apache|ohs_server|OHS Server Metrics|Response Data Throughput (KB per second)
